276,ML1_FAM_1,ML2_BP_11,ML3_BP_116,ML4_BP_11611,12390
277,ML1_FAM_1,ML2_BP_11,ML3_BP_1171,ML4_BP_117112,13605
278,ML1_FAM_1,ML2_BP_11,ML3_BP_1171,ML4_BP_117113,13625
279,ML1_FAM_1,ML2_BP_11,ML3_BP_1171,ML4_BP_117114,13626
280,ML1_FAM_1,ML2_BP_11,ML3_BP_1171,ML4_BP_117111,13594
281,ML1_FAM_1,ML2_BP_11,ML3_BP_1113008,ML4_BP_1127012008,8750
282,ML1_FAM_1,ML2_BP_11,ML3_BP_1113008,ML4_BP_111301008,11109
283,ML1_FAM_1,ML2_BP_11,ML3_BP_1113008,ML4_BP_1127014008,8544
284,ML1_FAM_1,ML2_BP_11,ML3_BP_1113008,ML4_BP_1127013008,13262
285,ML1_FAM_1,ML2_BP_11,ML3_BP_1113008,ML4_BP_1127010008,15122
286,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11112,15836
287,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11114,12342
288,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11113,15857
289,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11110,15830
290,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11115,16027
291,ML1_FAM_1,ML2_BP_11,ML3_BP_111,ML4_BP_11111,15835
292,ML1_FAM_1,ML2_BP_11,ML3_BP_114,ML4_BP_1142,12323
293,ML1_FAM_1,ML2_BP_11,ML3_BP_114,ML4_BP_1141,12345
294,ML1_FAM_1,ML2_BP_11,ML3_BP_114,ML4_BP_1143,12337
295,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11515008,8733
296,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_115110008,8729
297,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11512008,8730
298,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11519008,8728
299,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11511008,8725
300,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11518008,8727
301,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11513008,8731
302,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11516008,8734
303,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11514008,8732
304,ML1_FAM_1,ML2_BP_11,ML3_BP_1151,ML4_BP_11517008,8726
305,ML1_FAM_1,ML2_BP_11,ML3_BP_1141,ML4_BP_11413,17429
306,ML1_FAM_1,ML2_BP_11,ML3_BP_1141,ML4_BP_11412,17428
307,ML1_FAM_1,ML2_BP_11,ML3_BP_1141,ML4_BP_11414,13484
308,ML1_FAM_1,ML2_BP_11,ML3_BP_1195,ML4_BP_1195001,11791
309,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_11520008,15916
310,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_115218008,15428
311,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_115219008,15429
312,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_115210008,15392
313,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_1157008,9419
314,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_1158008,9420
315,ML1_FAM_1,ML2_BP_11,ML3_BP_115,ML4_BP_115213008,15396
